hs6,product_label,years_present,avg_RSCA
293371,"6-Hexanelactam ""epsilon-caprolactam""",12,1.0
290211,Cyclohexane,12,1.0
390140,"Ethylene-alpha-olefin copolymers, having a specific gravity of < 0,94 , in primary forms",7,1.0
390610,"Poly""methyl methacrylate"", in primary forms",11,1.0
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,12,1.0
400220,"Butadiene rubber ""BR"", in primary forms or in plates, sheets or strip",12,1.0
400259,"Acrylonitrile-butadiene rubber ""NBR"", in primary forms or in plates, sheets or strip (excl. ...",12,1.0
283620,Disodium carbonate,12,1.0
854229,"Electronic integrated circuits, monolithic, analogue or analogue and digital",5,1.0
292242,Glutamic acid and its salts,12,1.0
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, ...",12,1.0
930591,"Parts and accessories of military weapons of heading 9301, n.e.s.",12,1.0
292241,Lysine and its esters; salts thereof,12,1.0
880212,Helicopters of an unladen weight > 2.000 kg (excl. unmanned of heading 8806),6,1.0
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,12,1.0
880230,Aeroplanes and other powered aircraft of an unladen weight > 2.000 kg but <= 15.000 kg (excl. ...,6,1.0
271000,Petroleum oils and oils obtained from bituminous minerals (excluding crude); preparations containing ...,11,1.0
281111,"Hydrogen fluoride ""hydrofluoric acid""",12,1.0
291531,Ethyl acetate,12,1.0
711890,Coin of legal tender,12,1.0
291614,Esters of methacrylic acid,12,1.0
720521,"Powders, of alloy steel (excl. powders of ferro-alloys and radioactive iron powders ""isotopes"")",12,1.0
720529,"Powders, of pig iron, spiegeleisen, iron or non-alloy steel (excl. powders of ferro-alloys ...",12,1.0
732611,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not ...",12,1.0
281129,"Inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon ...",5,1.0
291736,Terephthalic acid and its salts,12,1.0
550320,"Staple fibres of polyesters, not carded, combed or otherwise processed for spinning",12,1.0
382370,"Fatty alcohols, industrial",12,1.0
283630,"Sodium hydrogencarbonate ""sodium bicarbonate""",12,1.0
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",11,1.0
270740,Naphthalene containing > 50% of naphthalene (excl. chemically defined),12,1.0
160557,"Abalone, prepared or preserved (excl. smoked)",12,1.0
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their ...",12,1.0
293361,Melamine,12,1.0
283421,Nitrate of potassium,12,1.0
283325,Sulphates of copper,12,1.0
280470,Phosphorus,12,1.0
550130,"Filament tow as specified in Note 1 to chapter 55, acrylic or modacrylic",12,1.0
790500,"Zinc plates, sheets, strip and foil",12,1.0
810320,"Unwrought tantalum, incl. bars and rods of tantalum obtained simply by sintering; tantalum ...",10,1.0
930190,"Military weapons, incl. sub-machine guns (excl. artillery weapons, rocket launchers, flame-throwers, ...",12,1.0
282612,Fluoride of aluminium,12,1.0
292121,Ethylenediamine and its salts,12,1.0
283010,Sodium sulphides,12,1.0
281000,Oxides of boron; boric acids,12,1.0
720510,"Granules, of pig iron, spiegeleisen, iron or steel (excl. granules of ferro-alloys, turnings ...",12,1.0
291524,Acetic anhydride,12,1.0
291422,Cyclohexanone and methylcyclohexanones,12,1.0
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated ...",12,1.0
880510,"Aircraft launching gear and parts thereof, n.e.s. (excl. motor winches for launching gliders); ...",6,1.0
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",6,1.0
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene",12,1.0
930110,"Artillery weapons ""e.g. guns, howitzers and mortars""",12,1.0
340220,"Surface-active preparations, washing preparations, auxiliary washing preparations and cleaning ...",3,1.0
930120,Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and similar projectors,12,1.0
291816,"Gluconic acid, its salts and esters",12,1.0
290542,Pentaerythritol,12,1.0
130231,"Agar-agar, whether or not modified",12,1.0
811231,"Unwrought hafnium and hafnium waste, scrap and powders (excl. ashes and residues)",3,1.0
880521,Air combat simulators and parts thereof,6,1.0
890610,Warships of all kinds,12,1.0
790400,"Zinc bars, rods, profiles and wire, n.e.s.",12,1.0
290722,"Hydroquinone ""quinol"" and its salts",12,1.0
292310,Choline and its salts,12,1.0
282710,Ammonium chloride,12,1.0
281910,Chromium trioxide,11,1.0
284020,"Borates (excl. disodium tetraborate ""refined borax"")",5,1.0
220290,"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)",8,1.0
270791,Creosote oils (excl. chemically defined),12,1.0
291737,Dimethyl terephthalate,12,1.0
290242,m-Xylene,12,1.0
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or ...",12,1.0
284130,Sodium dichromate,12,1.0
283660,Barium carbonate,12,1.0
550120,"Filament tow as specified in Note 1 to chapter 55, of polyesters",12,1.0
290541,"2-Ethyl-2-""hydroxymethyl"" propane-1,3-diol ""trimethylolpropane""",12,1.0
30787,"Smoked, dried, salted or in brine, even in shell, abalone ""Haliotis spp.""",8,1.0
30812,"Frozen sea cucumbers ""Stichopus japonicus, Holothuroidea""",8,1.0
281213,Phosphorus trichloride,8,1.0
281310,Carbon disulphide,12,1.0
30613,"Frozen shrimps and prawns, whether in shell or not, incl. shrimps and prawns in shell, cooked ...",12,1.0
283230,Thiosulphates,12,1.0
282630,"Sodium hexafluoroaluminate ""synthetic cryolite""",12,1.0
382490,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",8,1.0
