hs6,partner_count,partners
010121,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
010129,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
010221,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
010229,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
010641,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
010649,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020220,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020319,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020422,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020442,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020443,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020712,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020714,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
020745,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
021099,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030119,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030214,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030219,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030223,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030232,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030251,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030290,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030314,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030319,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030342,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030353,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
030355,10,Germany; France; Spain; Switzerland; Poland; Belgium; Netherlands; Austria; Romania; Czech Republic
